TestNumber,Account,OPS_Req,OPS_Mean,OPS_Sd,Order,New,Calculated1,Filled,Calculated2,Total
1,100320,1,1.00,0.00,9080002,161,373,1,0,535
1,100320,1,1.00,0.00,9080003,1,5,0,0,6
1,100320,1,1.00,0.00,9080004,5,2,0,0,7
1,100320,1,1.00,0.00,9080005,86,0,0,0,86
1,100320,1,1.00,0.00,9080006,3,3,0,1,7
1,100320,1,1.00,0.00,9080007,3,4,0,1,8
1,100320,1,1.00,0.00,9080008,30,3,0,0,33
1,100320,1,1.00,0.00,9080009,1,2,0,0,3
1,100320,1,1.00,0.00,9080010,2,3,0,0,5
1,100320,1,1.00,0.00,9080011,2,2,0,1,5
1,100320,1,1.00,0.00,9080012,2,3,0,1,6
1,100320,1,1.00,0.00,9080013,4,3,0,1,8
1,100320,1,1.00,0.00,9080014,4,4,0,0,8
1,100320,1,1.00,0.00,9080015,1,2,0,0,3
1,100320,1,1.00,0.00,9080016,3,8,0,0,11
1,100320,1,1.00,0.00,9080017,162,0,0,0,162
1,100320,1,1.00,0.00,9080018,2,2,0,0,4
1,100320,1,1.00,0.00,9080019,123,0,0,0,123
1,100320,1,1.00,0.00,9080020,2,2,0,1,5
1,100320,1,1.00,0.00,9080021,47,0,0,0,47
1,100320,1,1.00,0.00,9080022,2,4,0,0,6
1,100320,1,1.00,0.00,9080023,2,2,0,18,22
1,100320,1,1.00,0.00,9080024,11,2,0,0,13
1,100320,1,1.00,0.00,9080025,26,3,0,0,29
1,100320,1,1.00,0.00,9080026,20,1,0,0,21
1,100320,1,1.00,0.00,9080027,112,0,0,0,112
1,100320,1,1.00,0.00,9080028,1,2,0,1,4
1,100320,1,1.00,0.00,9080029,11,271,0,0,282
1,100320,1,1.00,0.00,9080030,271,0,0,0,271
1,100320,1,1.00,0.00,9080031,2,3,0,0,5
1,100320,1,1.00,0.00,9080032,4,13,0,1,18
1,100320,1,1.00,0.00,9080033,4,3,0,0,7
1,100320,1,1.00,0.00,9080034,36,0,0,0,36
1,100320,1,1.00,0.00,9080035,386,0,0,0,386
1,100320,1,1.00,0.00,9080036,4,66,0,0,70
1,100320,1,1.00,0.00,9080037,1,35,13,0,49
1,100320,1,1.00,0.00,9080038,1,24,0,1,26
1,100320,1,1.00,0.00,9080039,1,2,0,0,3
1,100320,1,1.00,0.00,9080040,1,1,0,0,2
1,100320,1,1.00,0.00,9080041,2,7,0,0,9
1,100320,1,1.00,0.00,9080042,1,3,0,0,4
1,100320,1,1.00,0.00,9080043,1,1,0,0,2
1,100320,1,1.00,0.00,9080044,1,2,0,0,3
1,100320,1,1.00,0.00,9080045,2,3,0,0,5
1,100320,1,1.00,0.00,9080046,16,0,0,0,16
1,100320,1,1.00,0.00,9080047,2,4,0,0,6
1,100320,1,1.00,0.00,9080048,2,7,2,0,11
1,100320,1,1.00,0.00,9080049,52,12,0,2,66
1,100320,1,1.00,0.00,9080050,259,0,0,0,259
1,100320,1,1.00,0.00,9080051,2,2,0,0,4
1,100320,1,1.00,0.00,9080052,3,5,0,4,12
1,100320,1,1.00,0.00,9080053,4,5,0,2,11
