TestNumber,Account,OPS_Req,OPS_Mean,OPS_Sd,Order,New,Calculated1,Filled,Calculated2,Total
1,100011,1,1.00,0.00,5142004,34,0,0,0,34
1,100011,1,1.00,0.00,5142005,4,6,0,1,11
1,100011,1,1.00,0.00,5142006,20,15,0,6,41
1,100011,1,1.00,0.00,5142007,10,6,1,1,18
1,100011,1,1.00,0.00,5142008,10,14,0,3,27
1,100011,1,1.00,0.00,5142009,4,10,0,1,15
1,100011,1,1.00,0.00,5142010,8,7,0,3,18
1,100011,1,1.00,0.00,5142011,8,12,0,3,23
1,100011,1,1.00,0.00,5142012,5,8,0,2,15
1,100011,1,1.00,0.00,5142013,7,11,0,0,18
1,100011,1,1.00,0.00,5142014,5,7,0,2,14
1,100011,1,1.00,0.00,5142015,7,15,0,4,26
1,100011,1,1.00,0.00,5142016,5,8,0,3,16
1,100011,1,1.00,0.00,5142017,10,15,0,12,37
1,100011,1,1.00,0.00,5142018,5,7,1,0,13
1,100011,1,1.00,0.00,5142019,9,19,0,1,29
1,100011,1,1.00,0.00,5142020,5,7,0,2,14
1,100011,1,1.00,0.00,5142021,13,14,0,0,27
1,100011,1,1.00,0.00,5142022,6,7,0,3,16
1,100011,1,1.00,0.00,5142023,17,16,0,2,35
1,100011,1,1.00,0.00,5142024,6,9,4,0,19
1,100011,1,1.00,0.00,5142025,5,7,0,6,18
1,100011,1,1.00,0.00,5142026,5,8,0,2,15
1,100011,1,1.00,0.00,5142027,12,28,0,4,44
1,100011,1,1.00,0.00,5142028,6,12,0,0,18
1,100011,1,1.00,0.00,5142029,13,14,2,0,29
1,100011,1,1.00,0.00,5142030,6,9,1,2,18
1,100011,1,1.00,0.00,5142031,16,23,0,2,41
1,100011,1,1.00,0.00,5142032,8,9,1,0,18
1,100011,1,1.00,0.00,5142033,7,8,0,2,17
1,100011,1,1.00,0.00,5142034,5,7,1,1,14
1,100011,1,1.00,0.00,5142035,5,8,0,3,16
1,100011,1,1.00,0.00,5142036,20,42,0,0,62
1,100011,1,1.00,0.00,5142037,5,8,0,3,16
1,100011,1,1.00,0.00,5142038,4,8,0,2,14
1,100011,1,1.00,0.00,5142039,13,7,0,4,24
1,100011,1,1.00,0.00,5142040,6,13,0,1,20
1,100011,1,1.00,0.00,5142041,6,17,0,0,23
1,100011,1,1.00,0.00,5142042,13,9,0,2,24
1,100011,1,1.00,0.00,5142043,6,19,3,0,28
1,100011,1,1.00,0.00,5142044,4,5,0,1,10
1,100011,1,1.00,0.00,5142045,5,8,0,2,15
1,100011,1,1.00,0.00,5142046,6,15,0,0,21
1,100011,1,1.00,0.00,5142047,11,39,2,3,55
1,100011,1,1.00,0.00,5142048,9,25,0,2,36
1,100011,1,1.00,0.00,5142049,10,22,0,0,32
1,100011,1,1.00,0.00,5142050,6,7,0,2,15
1,100011,1,1.00,0.00,5142051,49,7,8,0,64
1,100011,1,1.00,0.00,5142052,7,13,0,7,27
1,100011,1,1.00,0.00,5142053,7,11,0,6,24
1,100011,1,1.00,0.00,5142054,5,7,0,2,14
1,100011,1,1.00,0.00,5142055,4,8,0,2,14
1,100011,1,1.00,0.00,5142056,6,7,0,2,15
1,100011,1,1.00,0.00,5142057,8,16,0,6,30
1,100011,1,1.00,0.00,5142058,9,7,4,0,20
1,100011,1,1.00,0.00,5142059,4,6,0,3,13
1,100011,1,1.00,0.00,5142060,9,19,0,5,33
1,100011,1,1.00,0.00,5142061,4,6,0,1,11
1,100011,1,1.00,0.00,5142062,16,28,0,0,44
1,100011,1,1.00,0.00,5142063,13,7,0,4,24
1,100011,1,1.00,0.00,5142064,6,7,0,2,15
1,100011,1,1.00,0.00,5142065,12,10,0,3,25
1,100011,1,1.00,0.00,5142066,9,13,0,2,24
1,100011,1,1.00,0.00,5142067,15,5,0,3,23
1,100011,1,1.00,0.00,5142068,7,9,0,11,27
1,100011,1,1.00,0.00,5142069,19,24,0,4,47
1,100011,1,1.00,0.00,5142070,16,15,3,0,34
1,100011,1,1.00,0.00,5142071,7,7,0,2,16
1,100011,1,1.00,0.00,5142072,7,26,0,0,33
1,100011,1,1.00,0.00,5142073,6,9,0,0,15
1,100011,1,1.00,0.00,5142074,6,12,0,8,26
1,100011,1,1.00,0.00,5142075,6,12,7,2,27
1,100011,1,1.00,0.00,5142076,7,21,1,0,29
1,100011,1,1.00,0.00,5142077,7,6,0,2,15
1,100011,1,1.00,0.00,5142078,12,16,0,3,31
1,100011,1,1.00,0.00,5142079,11,7,3,0,21
1,100011,1,1.00,0.00,5142080,7,7,0,1,15
1,100011,1,1.00,0.00,5142081,7,6,0,2,15
1,100011,1,1.00,0.00,5142082,7,15,0,9,31
1,100011,1,1.00,0.00,5142083,31,11,0,2,44
1,100011,1,1.00,0.00,5142084,5,10,0,3,18
1,100011,1,1.00,0.00,5142085,4,7,0,1,12
1,100011,1,1.00,0.00,5142086,5,8,0,3,16
1,100011,1,1.00,0.00,5142087,6,6,0,3,15
1,100011,1,1.00,0.00,5142088,6,7,0,3,16
1,100011,1,1.00,0.00,5142089,5,7,1,2,15
1,100011,1,1.00,0.00,5142090,5,6,0,2,13
1,100011,1,1.00,0.00,5142091,7,8,0,3,18
1,100011,1,1.00,0.00,5142092,14,4,0,2,20
1,100011,1,1.00,0.00,5142093,6,9,0,2,17
1,100011,1,1.00,0.00,5142094,5,6,0,2,13
1,100011,1,1.00,0.00,5142095,5,6,0,1,12
1,100011,1,1.00,0.00,5142096,5,9,0,5,19
1,100011,1,1.00,0.00,5142097,5,15,0,3,23
1,100011,1,1.00,0.00,5142098,14,0,0,1,15
1,100011,1,1.00,0.00,5142099,7,9,0,2,18
1,100011,1,1.00,0.00,5142100,6,5,0,4,15
1,100011,1,1.00,0.00,5142101,4,8,3,0,15
