TestNumber,Account,OPS_Req,OPS_Mean,OPS_Sd,Order,New,Calculated1,Filled,Calculated2,Total
1,100011,1,1.00,0.00,5142304,26,10,0,2,38
1,100011,1,1.00,0.00,5142305,6,5,7,3,21
1,100011,1,1.00,0.00,5142306,6,11,0,2,19
1,100011,1,1.00,0.00,5142307,4,7,0,2,13
1,100011,1,1.00,0.00,5142308,3,7,0,1,11
1,100011,1,1.00,0.00,5142309,5,11,0,3,19
1,100011,1,1.00,0.00,5142310,6,7,0,10,23
1,100011,1,1.00,0.00,5142311,4,6,1,0,11
1,100011,1,1.00,0.00,5142312,7,7,0,1,15
1,100011,1,1.00,0.00,5142313,6,5,0,2,13
1,100011,1,1.00,0.00,5142314,5,6,4,0,15
1,100011,1,1.00,0.00,5142315,7,12,0,2,21
1,100011,1,1.00,0.00,5142316,5,7,0,3,15
1,100011,1,1.00,0.00,5142317,6,7,1,1,15
1,100011,1,1.00,0.00,5142318,9,12,0,3,24
1,100011,1,1.00,0.00,5142319,6,6,0,1,13
1,100011,1,1.00,0.00,5142320,11,7,0,3,21
1,100011,1,1.00,0.00,5142321,6,6,0,1,13
1,100011,1,1.00,0.00,5142322,4,7,0,1,12
1,100011,1,1.00,0.00,5142323,4,5,0,2,11
1,100011,1,1.00,0.00,5142324,5,7,0,2,14
1,100011,1,1.00,0.00,5142325,6,9,0,2,17
1,100011,1,1.00,0.00,5142326,14,0,3,0,17
1,100011,1,1.00,0.00,5142327,5,10,0,0,15
1,100011,1,1.00,0.00,5142328,8,6,0,2,16
1,100011,1,1.00,0.00,5142329,5,8,1,4,18
1,100011,1,1.00,0.00,5142330,7,8,0,2,17
1,100011,1,1.00,0.00,5142331,5,7,0,3,15
1,100011,1,1.00,0.00,5142332,8,8,0,1,17
1,100011,1,1.00,0.00,5142333,5,6,0,2,13
1,100011,1,1.00,0.00,5142334,5,6,0,2,13
1,100011,1,1.00,0.00,5142335,6,14,0,2,22
1,100011,1,1.00,0.00,5142336,5,7,0,4,16
1,100011,1,1.00,0.00,5142337,5,8,0,8,21
1,100011,1,1.00,0.00,5142338,5,6,0,2,13
1,100011,1,1.00,0.00,5142339,7,5,0,3,15
1,100011,1,1.00,0.00,5142340,11,19,0,0,30
1,100011,1,1.00,0.00,5142341,5,12,0,6,23
1,100011,1,1.00,0.00,5142342,5,7,0,2,14
1,100011,1,1.00,0.00,5142343,8,13,0,4,25
1,100011,1,1.00,0.00,5142344,10,15,0,3,28
1,100011,1,1.00,0.00,5142345,5,6,0,2,13
1,100011,1,1.00,0.00,5142346,4,7,0,3,14
1,100011,1,1.00,0.00,5142347,6,5,0,4,15
1,100011,1,1.00,0.00,5142348,5,7,0,2,14
1,100011,1,1.00,0.00,5142349,4,8,2,2,16
1,100011,1,1.00,0.00,5142350,5,7,0,2,14
1,100011,1,1.00,0.00,5142351,6,8,0,4,18
1,100011,1,1.00,0.00,5142352,5,5,0,2,12
1,100011,1,1.00,0.00,5142353,6,7,0,2,15
1,100011,1,1.00,0.00,5142354,6,6,0,2,14
1,100011,1,1.00,0.00,5142355,6,5,1,1,13
1,100011,1,1.00,0.00,5142356,7,8,0,2,17
1,100011,1,1.00,0.00,5142357,5,6,0,2,13
1,100011,1,1.00,0.00,5142358,5,8,0,4,17
1,100011,1,1.00,0.00,5142359,5,6,0,5,16
1,100011,1,1.00,0.00,5142360,4,12,0,2,18
1,100011,1,1.00,0.00,5142361,12,9,0,2,23
1,100011,1,1.00,0.00,5142362,12,13,0,3,28
1,100011,1,1.00,0.00,5142363,5,6,0,2,13
1,100011,1,1.00,0.00,5142364,4,6,0,2,12
1,100011,1,1.00,0.00,5142365,7,15,0,2,24
1,100011,1,1.00,0.00,5142366,4,5,0,2,11
1,100011,1,1.00,0.00,5142367,5,6,0,2,13
1,100011,1,1.00,0.00,5142368,5,7,0,2,14
1,100011,1,1.00,0.00,5142369,5,6,0,2,13
1,100011,1,1.00,0.00,5142370,5,7,0,3,15
1,100011,1,1.00,0.00,5142371,4,6,0,2,12
1,100011,1,1.00,0.00,5142372,5,22,4,0,31
1,100011,1,1.00,0.00,5142373,6,6,0,3,15
1,100011,1,1.00,0.00,5142374,5,9,0,1,15
1,100011,1,1.00,0.00,5142375,5,8,0,0,13
1,100011,1,1.00,0.00,5142376,5,6,0,2,13
1,100011,1,1.00,0.00,5142377,5,7,0,7,19
1,100011,1,1.00,0.00,5142378,4,7,0,2,13
1,100011,1,1.00,0.00,5142379,6,9,0,2,17
1,100011,1,1.00,0.00,5142380,5,7,0,3,15
1,100011,1,1.00,0.00,5142381,5,7,0,2,14
1,100011,1,1.00,0.00,5142382,3,6,0,0,9
1,100011,1,1.00,0.00,5142383,6,11,0,3,20
1,100011,1,1.00,0.00,5142384,5,9,0,2,16
1,100011,1,1.00,0.00,5142385,12,17,0,4,33
1,100011,1,1.00,0.00,5142386,6,6,2,2,16
1,100011,1,1.00,0.00,5142387,5,7,0,4,16
1,100011,1,1.00,0.00,5142388,17,15,0,2,34
1,100011,1,1.00,0.00,5142389,6,8,0,2,16
1,100011,1,1.00,0.00,5142390,5,7,0,7,19
1,100011,1,1.00,0.00,5142391,5,11,0,3,19
1,100011,1,1.00,0.00,5142392,5,9,0,3,17
1,100011,1,1.00,0.00,5142393,5,7,0,3,15
1,100011,1,1.00,0.00,5142394,5,20,0,2,27
1,100011,1,1.00,0.00,5142395,5,12,0,2,19
1,100011,1,1.00,0.00,5142396,5,8,0,2,15
1,100011,1,1.00,0.00,5142397,5,8,0,2,15
1,100011,1,1.00,0.00,5142398,9,6,0,2,17
1,100011,1,1.00,0.00,5142399,13,7,0,2,22
1,100011,1,1.00,0.00,5142400,5,11,0,3,19
1,100011,1,1.00,0.00,5142401,5,6,0,2,13
1,100011,1,1.00,0.00,5142402,6,18,0,0,24
1,100011,1,1.00,0.00,5142403,5,7,0,2,14
1,100011,1,1.00,0.00,5142404,5,6,0,2,13
1,100011,1,1.00,0.00,5142405,6,11,0,1,18
1,100011,1,1.00,0.00,5142406,5,7,0,4,16
1,100011,1,1.00,0.00,5142407,7,13,0,2,22
