TestNumber,Account,OPS_Req,OPS_Mean,OPS_Sd,Order,New,Calculated1,Filled,Calculated2,Total
1,100011,1,1.00,0.00,5158002,472,351,30,12,865
1,100011,1,1.00,0.00,5158003,4,8,0,3,15
1,100011,1,1.00,0.00,5158004,6,7,0,2,15
1,100011,1,1.00,0.00,5158005,4,15,0,15,34
1,100011,1,1.00,0.00,5158006,5,6,0,1,12
1,100011,1,1.00,0.00,5158007,13,14,0,5,32
1,100011,1,1.00,0.00,5158008,5,7,0,2,14
1,100011,1,1.00,0.00,5158009,4,6,0,2,12
1,100011,1,1.00,0.00,5158010,6,9,1,2,18
1,100011,1,1.00,0.00,5158011,4,7,0,2,13
1,100011,1,1.00,0.00,5158012,4,6,0,2,12
1,100011,1,1.00,0.00,5158013,3,5,0,2,10
1,100011,1,1.00,0.00,5158014,5,8,0,0,13
1,100011,1,1.00,0.00,5158015,5,3,0,1,9
1,100011,1,1.00,0.00,5158016,6,5,0,2,13
1,100011,1,1.00,0.00,5158017,4,32,0,3,39
1,100011,1,1.00,0.00,5158018,4,6,0,0,10
1,100011,1,1.00,0.00,5158019,5,5,0,2,12
1,100011,1,1.00,0.00,5158020,6,8,0,2,16
1,100011,1,1.00,0.00,5158021,6,15,0,0,21
1,100011,1,1.00,0.00,5158022,4,6,0,1,11
1,100011,1,1.00,0.00,5158023,5,5,0,1,11
1,100011,1,1.00,0.00,5158024,7,7,0,14,28
1,100011,1,1.00,0.00,5158025,3,5,0,0,8
1,100011,1,1.00,0.00,5158026,6,3,0,1,10
1,100011,1,1.00,0.00,5158027,5,6,0,2,13
1,100011,1,1.00,0.00,5158028,4,5,0,1,10
1,100011,1,1.00,0.00,5158029,3,8,0,0,11
1,100011,1,1.00,0.00,5158030,5,6,0,2,13
1,100011,1,1.00,0.00,5158031,5,6,0,2,13
1,100011,1,1.00,0.00,5158032,5,9,0,3,17
1,100011,1,1.00,0.00,5158033,10,3,0,2,15
1,100011,1,1.00,0.00,5158034,8,5,1,0,14
1,100011,1,1.00,0.00,5158035,5,5,0,2,12
1,100011,1,1.00,0.00,5158036,7,16,0,4,27
1,100011,1,1.00,0.00,5158037,4,6,0,2,12
1,100011,1,1.00,0.00,5158038,4,5,0,2,11
1,100011,1,1.00,0.00,5158039,5,6,0,2,13
1,100011,1,1.00,0.00,5158040,6,7,0,3,16
1,100011,1,1.00,0.00,5158041,4,6,0,2,12
1,100011,1,1.00,0.00,5158042,4,4,0,1,9
1,100011,1,1.00,0.00,5158043,4,6,3,0,13
1,100011,1,1.00,0.00,5158044,5,5,0,2,12
1,100011,1,1.00,0.00,5158045,5,5,0,2,12
1,100011,1,1.00,0.00,5158046,7,8,0,2,17
1,100011,1,1.00,0.00,5158047,7,5,0,2,14
1,100011,1,1.00,0.00,5158048,4,12,0,3,19
1,100011,1,1.00,0.00,5158049,5,4,0,2,11
1,100011,1,1.00,0.00,5158050,7,8,0,2,17
1,100011,1,1.00,0.00,5158051,6,3,0,2,11
1,100011,1,1.00,0.00,5158052,12,15,0,5,32
1,100011,1,1.00,0.00,5158053,4,6,0,2,12
1,100011,1,1.00,0.00,5158054,4,5,0,2,11
1,100011,1,1.00,0.00,5158055,6,3,0,2,11
1,100011,1,1.00,0.00,5158056,7,7,0,2,16
1,100011,1,1.00,0.00,5158057,8,8,0,5,21
1,100011,1,1.00,0.00,5158058,12,20,0,3,35
1,100011,1,1.00,0.00,5158059,4,7,0,0,11
1,100011,1,1.00,0.00,5158060,5,6,0,2,13
1,100011,1,1.00,0.00,5158061,3,5,2,0,10
1,100011,1,1.00,0.00,5158062,5,8,0,3,16
1,100011,1,1.00,0.00,5158063,6,16,0,0,22
1,100011,1,1.00,0.00,5158064,4,11,0,0,15
1,100011,1,1.00,0.00,5158065,4,8,0,2,14
1,100011,1,1.00,0.00,5158066,5,7,1,1,14
1,100011,1,1.00,0.00,5158067,4,11,0,0,15
1,100011,1,1.00,0.00,5158068,3,6,0,1,10
1,100011,1,1.00,0.00,5158069,4,11,0,0,15
1,100011,1,1.00,0.00,5158070,14,10,0,4,28
1,100011,1,1.00,0.00,5158071,8,6,2,2,18
1,100011,1,1.00,0.00,5158072,4,7,0,2,13
1,100011,1,1.00,0.00,5158073,4,6,0,2,12
1,100011,1,1.00,0.00,5158074,6,13,0,0,19
1,100011,1,1.00,0.00,5158075,5,9,1,3,18
1,100011,1,1.00,0.00,5158076,8,6,0,2,16
1,100011,1,1.00,0.00,5158077,4,7,0,2,13
1,100011,1,1.00,0.00,5158078,12,8,0,1,21
1,100011,1,1.00,0.00,5158079,5,5,0,1,11
1,100011,1,1.00,0.00,5158080,3,4,0,1,8
1,100011,1,1.00,0.00,5158081,4,7,0,0,11
1,100011,1,1.00,0.00,5158082,13,8,0,1,22
1,100011,1,1.00,0.00,5158083,6,13,0,2,21
1,100011,1,1.00,0.00,5158084,4,8,0,3,15
1,100011,1,1.00,0.00,5158085,5,8,0,2,15
1,100011,1,1.00,0.00,5158086,6,16,0,5,27
1,100011,1,1.00,0.00,5158087,6,2,0,0,8
