TestNumber,Account,OPS_Req,OPS_Mean,OPS_Sd,Order,New,Calculated1,Filled,Calculated2,Total
1,100011,1,1.00,0.00,5158302,17,0,0,1,18
1,100011,1,1.00,0.00,5158303,4,5,0,1,10
1,100011,1,1.00,0.00,5158304,5,6,0,2,13
1,100011,1,1.00,0.00,5158305,7,8,1,1,17
1,100011,1,1.00,0.00,5158306,8,14,0,4,26
1,100011,1,1.00,0.00,5158307,5,11,0,2,18
1,100011,1,1.00,0.00,5158308,4,6,0,2,12
1,100011,1,1.00,0.00,5158309,4,7,0,2,13
1,100011,1,1.00,0.00,5158310,4,17,0,4,25
1,100011,1,1.00,0.00,5158311,8,9,0,5,22
1,100011,1,1.00,0.00,5158312,8,2,0,2,12
1,100011,1,1.00,0.00,5158313,7,17,0,7,31
1,100011,1,1.00,0.00,5158314,8,7,0,0,15
1,100011,1,1.00,0.00,5158315,4,6,0,2,12
1,100011,1,1.00,0.00,5158316,5,6,0,2,13
1,100011,1,1.00,0.00,5158317,16,0,0,0,16
1,100011,1,1.00,0.00,5158318,8,5,0,2,15
1,100011,1,1.00,0.00,5158319,8,11,0,1,20
1,100011,1,1.00,0.00,5158320,4,5,0,2,11
1,100011,1,1.00,0.00,5158321,3,9,0,0,12
1,100011,1,1.00,0.00,5158322,8,6,0,2,16
1,100011,1,1.00,0.00,5158323,4,7,0,2,13
1,100011,1,1.00,0.00,5158324,6,5,0,3,14
1,100011,1,1.00,0.00,5158325,7,4,0,1,12
1,100011,1,1.00,0.00,5158326,6,8,6,1,21
1,100011,1,1.00,0.00,5158327,5,7,0,3,15
1,100011,1,1.00,0.00,5158328,14,0,1,0,15
1,100011,1,1.00,0.00,5158329,8,19,0,3,30
1,100011,1,1.00,0.00,5158330,17,11,0,4,32
1,100011,1,1.00,0.00,5158331,4,5,0,4,13
1,100011,1,1.00,0.00,5158332,6,5,0,1,12
1,100011,1,1.00,0.00,5158333,5,6,0,2,13
1,100011,1,1.00,0.00,5158334,4,6,0,3,13
1,100011,1,1.00,0.00,5158335,4,7,0,0,11
1,100011,1,1.00,0.00,5158336,12,3,1,2,18
1,100011,1,1.00,0.00,5158337,9,18,0,2,29
1,100011,1,1.00,0.00,5158338,13,13,0,6,32
1,100011,1,1.00,0.00,5158339,5,12,0,2,19
1,100011,1,1.00,0.00,5158340,5,5,0,2,12
1,100011,1,1.00,0.00,5158341,8,12,0,6,26
1,100011,1,1.00,0.00,5158342,10,15,0,6,31
1,100011,1,1.00,0.00,5158343,4,7,0,2,13
1,100011,1,1.00,0.00,5158344,5,19,0,0,24
1,100011,1,1.00,0.00,5158345,8,6,3,0,17
1,100011,1,1.00,0.00,5158346,11,18,0,0,29
1,100011,1,1.00,0.00,5158347,4,6,0,2,12
1,100011,1,1.00,0.00,5158348,4,7,0,2,13
1,100011,1,1.00,0.00,5158349,9,12,1,3,25
1,100011,1,1.00,0.00,5158350,13,10,0,4,27
1,100011,1,1.00,0.00,5158351,7,10,0,0,17
1,100011,1,1.00,0.00,5158352,8,15,0,5,28
1,100011,1,1.00,0.00,5158353,10,8,0,5,23
1,100011,1,1.00,0.00,5158354,14,6,0,2,22
1,100011,1,1.00,0.00,5158355,19,34,0,0,53
1,100011,1,1.00,0.00,5158356,7,32,0,4,43
1,100011,1,1.00,0.00,5158357,11,9,0,7,27
1,100011,1,1.00,0.00,5158358,3,4,0,1,8
1,100011,1,1.00,0.00,5158359,17,24,0,0,41
1,100011,1,1.00,0.00,5158360,7,12,0,7,26
1,100011,1,1.00,0.00,5158361,8,10,13,0,31
1,100011,1,1.00,0.00,5158362,4,9,0,3,16
1,100011,1,1.00,0.00,5158363,8,6,0,5,19
1,100011,1,1.00,0.00,5158364,5,8,0,3,16
1,100011,1,1.00,0.00,5158365,4,7,0,3,14
1,100011,1,1.00,0.00,5158366,7,10,0,1,18
1,100011,1,1.00,0.00,5158367,5,3,0,2,10
1,100011,1,1.00,0.00,5158368,12,20,1,3,36
1,100011,1,1.00,0.00,5158369,10,14,1,3,28
1,100011,1,1.00,0.00,5158370,11,10,0,1,22
1,100011,1,1.00,0.00,5158371,12,5,0,2,19
1,100011,1,1.00,0.00,5158372,4,10,0,0,14
1,100011,1,1.00,0.00,5158373,4,7,0,3,14
1,100011,1,1.00,0.00,5158374,14,11,0,6,31
1,100011,1,1.00,0.00,5158375,7,2,0,2,11
1,100011,1,1.00,0.00,5158376,4,7,0,2,13
1,100011,1,1.00,0.00,5158377,4,11,0,2,17
1,100011,1,1.00,0.00,5158378,5,8,0,2,15
1,100011,1,1.00,0.00,5158379,4,5,0,2,11
1,100011,1,1.00,0.00,5158380,8,3,1,0,12
1,100011,1,1.00,0.00,5158381,5,6,0,2,13
1,100011,1,1.00,0.00,5158382,6,8,0,2,16
1,100011,1,1.00,0.00,5158383,7,13,0,6,26
1,100011,1,1.00,0.00,5158384,4,5,0,1,10
1,100011,1,1.00,0.00,5158385,3,5,0,2,10
1,100011,1,1.00,0.00,5158386,6,9,0,2,17
1,100011,1,1.00,0.00,5158387,4,10,0,2,16
1,100011,1,1.00,0.00,5158388,4,8,0,7,19
1,100011,1,1.00,0.00,5158389,8,5,0,0,13
1,100011,1,1.00,0.00,5158390,6,6,0,2,14
1,100011,1,1.00,0.00,5158391,5,15,4,2,26
1,100011,1,1.00,0.00,5158392,5,6,0,2,13
1,100011,1,1.00,0.00,5158393,13,3,0,0,16
1,100011,1,1.00,0.00,5158394,5,6,0,3,14
1,100011,1,1.00,0.00,5158395,7,6,0,3,16
1,100011,1,1.00,0.00,5158396,13,20,0,1,34
1,100011,1,1.00,0.00,5158397,4,7,0,3,14
1,100011,1,1.00,0.00,5158398,5,10,0,1,16
1,100011,1,1.00,0.00,5158399,17,10,0,5,32
1,100011,1,1.00,0.00,5158400,4,7,0,2,13
1,100011,1,1.00,0.00,5158401,4,5,0,2,11
1,100011,1,1.00,0.00,5158402,5,6,0,2,13
1,100011,1,1.00,0.00,5158403,11,9,0,3,23
1,100011,1,1.00,0.00,5158404,9,18,1,13,41
1,100011,1,1.00,0.00,5158405,4,6,0,2,12
1,100011,1,1.00,0.00,5158406,14,7,0,9,30
1,100011,1,1.00,0.00,5158407,4,14,0,4,22
1,100011,1,1.00,0.00,5158408,9,12,0,2,23
1,100011,1,1.00,0.00,5158409,4,7,0,1,12
1,100011,1,1.00,0.00,5158410,5,10,0,3,18
1,100011,1,1.00,0.00,5158411,7,3,0,2,12
1,100011,1,1.00,0.00,5158412,6,12,3,3,24
1,100011,1,1.00,0.00,5158413,6,8,2,0,16
1,100011,1,1.00,0.00,5158414,7,8,0,3,18
1,100011,1,1.00,0.00,5158415,11,8,0,3,22
1,100011,1,1.00,0.00,5158416,5,6,0,2,13
1,100011,1,1.00,0.00,5158417,10,8,0,1,19
1,100011,1,1.00,0.00,5158418,3,6,0,0,9
1,100011,1,1.00,0.00,5158419,4,6,0,0,10
1,100011,1,1.00,0.00,5158420,3,13,0,3,19
1,100011,1,1.00,0.00,5158421,6,11,0,3,20
1,100011,1,1.00,0.00,5158422,5,7,0,0,12
1,100011,1,1.00,0.00,5158423,4,4,0,1,9
1,100011,1,1.00,0.00,5158424,6,7,0,9,22
1,100011,1,1.00,0.00,5158425,4,7,0,3,14
1,100011,1,1.00,0.00,5158426,7,9,0,4,20
1,100011,1,1.00,0.00,5158427,11,11,0,7,29
1,100011,1,1.00,0.00,5158428,5,5,0,2,12
1,100011,1,1.00,0.00,5158429,6,5,0,0,11
1,100011,1,1.00,0.00,5158430,5,7,0,3,15
1,100011,1,1.00,0.00,5158431,4,6,0,2,12
1,100011,1,1.00,0.00,5158432,4,6,0,2,12
1,100011,1,1.00,0.00,5158433,3,7,0,2,12
1,100011,1,1.00,0.00,5158434,5,7,1,2,15
1,100011,1,1.00,0.00,5158435,4,7,1,7,19
1,100011,1,1.00,0.00,5158436,5,7,0,2,14
1,100011,1,1.00,0.00,5158437,6,20,4,0,30
1,100011,1,1.00,0.00,5158438,4,6,3,0,13
1,100011,1,1.00,0.00,5158439,6,7,0,1,14
1,100011,1,1.00,0.00,5158440,4,7,0,2,13
1,100011,1,1.00,0.00,5158441,4,17,0,2,23
1,100011,1,1.00,0.00,5158442,5,6,0,4,15
1,100011,1,1.00,0.00,5158443,5,6,0,9,20
1,100011,1,1.00,0.00,5158444,3,6,0,0,9
1,100011,1,1.00,0.00,5158445,3,5,0,2,10
1,100011,1,1.00,0.00,5158446,4,16,0,2,22
1,100011,1,1.00,0.00,5158447,5,14,0,0,19
1,100011,1,1.00,0.00,5158448,5,8,0,0,13
1,100011,1,1.00,0.00,5158449,11,5,0,5,21
1,100011,1,1.00,0.00,5158450,4,6,0,2,12
1,100011,1,1.00,0.00,5158451,4,9,0,1,14
1,100011,1,1.00,0.00,5158452,5,7,0,2,14
