TestNumber,Account,OPS_Req,OPS_Mean,OPS_Sd,Order,New,Calculated1,Filled,Calculated2,Total
1,100011,1,1.00,0.00,5166002,603,391,23,11,1028
1,100011,1,1.00,0.00,5166003,114,5,0,1,120
1,100011,1,1.00,0.00,5166004,25,12,0,0,37
1,100011,1,1.00,0.00,5166005,8,6,0,2,16
1,100011,1,1.00,0.00,5166006,7,17,0,2,26
1,100011,1,1.00,0.00,5166007,10,11,0,4,25
1,100011,1,1.00,0.00,5166008,15,6,0,2,23
1,100011,1,1.00,0.00,5166009,9,16,0,0,25
1,100011,1,1.00,0.00,5166010,19,10,3,4,36
1,100011,1,1.00,0.00,5166011,5,8,0,4,17
1,100011,1,1.00,0.00,5166012,13,9,1,8,31
1,100011,1,1.00,0.00,5166013,8,6,0,2,16
1,100011,1,1.00,0.00,5166014,5,7,0,2,14
1,100011,1,1.00,0.00,5166015,4,11,0,2,17
1,100011,1,1.00,0.00,5166016,7,18,0,0,25
1,100011,1,1.00,0.00,5166017,12,8,0,2,22
1,100011,1,1.00,0.00,5166018,10,10,0,4,24
1,100011,1,1.00,0.00,5166019,6,4,0,3,13
1,100011,1,1.00,0.00,5166020,4,7,0,3,14
1,100011,1,1.00,0.00,5166021,5,6,0,2,13
1,100011,1,1.00,0.00,5166022,10,9,2,4,25
1,100011,1,1.00,0.00,5166023,3,4,0,1,8
1,100011,1,1.00,0.00,5166024,5,8,0,3,16
1,100011,1,1.00,0.00,5166025,17,6,0,15,38
1,100011,1,1.00,0.00,5166026,4,9,0,3,16
1,100011,1,1.00,0.00,5166027,3,12,0,2,17
1,100011,1,1.00,0.00,5166028,7,13,0,1,21
1,100011,1,1.00,0.00,5166029,5,7,0,7,19
1,100011,1,1.00,0.00,5166030,4,5,0,0,9
1,100011,1,1.00,0.00,5166031,2,4,0,1,7
1,100011,1,1.00,0.00,5166032,3,6,0,1,10
1,100011,1,1.00,0.00,5166033,13,8,0,4,25
1,100011,1,1.00,0.00,5166034,3,4,0,1,8
1,100011,1,1.00,0.00,5166035,6,7,0,2,15
1,100011,1,1.00,0.00,5166036,4,5,0,2,11
1,100011,1,1.00,0.00,5166037,6,8,0,3,17
1,100011,1,1.00,0.00,5166038,4,14,0,2,20
1,100011,1,1.00,0.00,5166039,6,6,0,3,15
1,100011,1,1.00,0.00,5166040,8,11,0,0,19
1,100011,1,1.00,0.00,5166041,9,8,0,2,19
1,100011,1,1.00,0.00,5166042,4,8,0,0,12
1,100011,1,1.00,0.00,5166043,5,15,0,7,27
1,100011,1,1.00,0.00,5166044,5,5,0,3,13
1,100011,1,1.00,0.00,5166045,9,4,0,1,14
1,100011,1,1.00,0.00,5166046,5,7,1,3,16
1,100011,1,1.00,0.00,5166047,5,9,4,0,18
1,100011,1,1.00,0.00,5166048,5,9,0,2,16
1,100011,1,1.00,0.00,5166049,8,7,6,4,25
1,100011,1,1.00,0.00,5166050,15,0,0,3,18
1,100011,1,1.00,0.00,5166051,5,6,0,2,13
1,100011,1,1.00,0.00,5166052,5,16,0,1,22
1,100011,1,1.00,0.00,5166053,6,6,0,2,14
1,100011,1,1.00,0.00,5166054,4,5,0,5,14
1,100011,1,1.00,0.00,5166055,4,5,0,2,11
1,100011,1,1.00,0.00,5166056,4,6,1,2,13
1,100011,1,1.00,0.00,5166057,4,14,0,0,18
1,100011,1,1.00,0.00,5166058,4,7,0,2,13
1,100011,1,1.00,0.00,5166059,3,21,1,1,26
1,100011,1,1.00,0.00,5166060,6,4,0,2,12
1,100011,1,1.00,0.00,5166061,5,6,1,1,13
1,100011,1,1.00,0.00,5166062,9,12,0,7,28
1,100011,1,1.00,0.00,5166063,4,6,0,2,12
1,100011,1,1.00,0.00,5166064,3,8,1,3,15
1,100011,1,1.00,0.00,5166065,5,7,0,2,14
1,100011,1,1.00,0.00,5166066,9,7,0,2,18
1,100011,1,1.00,0.00,5166067,7,15,0,2,24
1,100011,1,1.00,0.00,5166068,4,8,0,2,14
1,100011,1,1.00,0.00,5166069,3,4,0,1,8
1,100011,1,1.00,0.00,5166070,5,7,0,3,15
1,100011,1,1.00,0.00,5166071,5,4,0,2,11
1,100011,1,1.00,0.00,5166072,5,5,0,2,12
1,100011,1,1.00,0.00,5166073,4,9,0,0,13
1,100011,1,1.00,0.00,5166074,5,6,1,2,14
1,100011,1,1.00,0.00,5166075,7,14,2,0,23
1,100011,1,1.00,0.00,5166076,8,3,0,2,13
1,100011,1,1.00,0.00,5166077,3,11,0,0,14
1,100011,1,1.00,0.00,5166078,5,8,0,8,21
1,100011,1,1.00,0.00,5166079,4,5,0,2,11
1,100011,1,1.00,0.00,5166080,8,5,1,0,14
1,100011,1,1.00,0.00,5166081,8,31,1,0,40
1,100011,1,1.00,0.00,5166082,5,7,0,2,14
1,100011,1,1.00,0.00,5166083,4,6,0,2,12
1,100011,1,1.00,0.00,5166084,6,15,0,0,21
1,100011,1,1.00,0.00,5166085,5,7,0,9,21
1,100011,1,1.00,0.00,5166086,5,6,0,9,20
1,100011,1,1.00,0.00,5166087,9,4,0,1,14
1,100011,1,1.00,0.00,5166088,5,7,0,2,14
