TestNumber,Account,OPS_Req,OPS_Mean,OPS_Sd,Order,New,Calculated1,Filled,Calculated2,Total
1,100011,1,1.00,0.00,5174002,436,420,52,31,939
1,100011,1,1.00,0.00,5174003,53,0,1,0,54
1,100011,1,1.00,0.00,5174004,4,5,0,2,11
1,100011,1,1.00,0.00,5174005,6,9,0,2,17
1,100011,1,1.00,0.00,5174006,7,7,0,3,17
1,100011,1,1.00,0.00,5174007,6,13,0,3,22
1,100011,1,1.00,0.00,5174008,5,6,0,2,13
1,100011,1,1.00,0.00,5174009,7,12,0,2,21
1,100011,1,1.00,0.00,5174010,5,7,0,3,15
1,100011,1,1.00,0.00,5174011,10,7,0,3,20
1,100011,1,1.00,0.00,5174012,14,12,0,0,26
1,100011,1,1.00,0.00,5174013,5,10,0,0,15
1,100011,1,1.00,0.00,5174014,9,10,0,5,24
1,100011,1,1.00,0.00,5174015,5,7,3,0,15
1,100011,1,1.00,0.00,5174016,14,14,2,6,36
1,100011,1,1.00,0.00,5174017,7,23,5,0,35
1,100011,1,1.00,0.00,5174018,7,13,0,1,21
1,100011,1,1.00,0.00,5174019,5,9,0,2,16
1,100011,1,1.00,0.00,5174020,5,9,0,3,17
1,100011,1,1.00,0.00,5174021,10,18,0,1,29
1,100011,1,1.00,0.00,5174022,9,22,12,0,43
1,100011,1,1.00,0.00,5174023,20,9,2,0,31
1,100011,1,1.00,0.00,5174024,9,10,0,1,20
1,100011,1,1.00,0.00,5174025,8,9,0,5,22
1,100011,1,1.00,0.00,5174026,5,5,2,1,13
1,100011,1,1.00,0.00,5174027,6,5,0,0,11
1,100011,1,1.00,0.00,5174028,13,21,0,5,39
1,100011,1,1.00,0.00,5174029,11,11,5,0,27
1,100011,1,1.00,0.00,5174030,9,8,0,3,20
1,100011,1,1.00,0.00,5174031,4,5,0,2,11
1,100011,1,1.00,0.00,5174032,7,17,0,2,26
1,100011,1,1.00,0.00,5174033,17,20,0,8,45
1,100011,1,1.00,0.00,5174034,3,8,0,0,11
1,100011,1,1.00,0.00,5174035,9,10,0,2,21
1,100011,1,1.00,0.00,5174036,6,10,4,0,20
1,100011,1,1.00,0.00,5174037,10,27,0,9,46
1,100011,1,1.00,0.00,5174038,4,6,0,1,11
1,100011,1,1.00,0.00,5174039,4,5,0,1,10
1,100011,1,1.00,0.00,5174040,8,11,0,7,26
1,100011,1,1.00,0.00,5174041,6,6,0,3,15
1,100011,1,1.00,0.00,5174042,7,9,0,5,21
1,100011,1,1.00,0.00,5174043,15,17,4,0,36
1,100011,1,1.00,0.00,5174044,9,17,0,3,29
1,100011,1,1.00,0.00,5174045,7,6,0,0,13
1,100011,1,1.00,0.00,5174046,5,7,0,3,15
1,100011,1,1.00,0.00,5174047,7,28,0,0,35
1,100011,1,1.00,0.00,5174048,7,8,0,3,18
1,100011,1,1.00,0.00,5174049,13,14,1,4,32
1,100011,1,1.00,0.00,5174050,7,7,2,3,19
1,100011,1,1.00,0.00,5174051,4,8,0,2,14
1,100011,1,1.00,0.00,5174052,6,16,0,2,24
1,100011,1,1.00,0.00,5174053,5,10,1,3,19
1,100011,1,1.00,0.00,5174054,5,6,0,4,15
1,100011,1,1.00,0.00,5174055,7,8,0,3,18
1,100011,1,1.00,0.00,5174056,6,9,0,2,17
1,100011,1,1.00,0.00,5174057,10,23,1,0,34
1,100011,1,1.00,0.00,5174058,10,14,1,6,31
1,100011,1,1.00,0.00,5174059,5,14,0,0,19
1,100011,1,1.00,0.00,5174060,5,10,0,2,17
1,100011,1,1.00,0.00,5174061,8,31,0,0,39
1,100011,1,1.00,0.00,5174062,5,8,0,6,19
1,100011,1,1.00,0.00,5174063,5,10,0,0,15
1,100011,1,1.00,0.00,5174064,5,8,0,2,15
1,100011,1,1.00,0.00,5174065,5,8,0,2,15
1,100011,1,1.00,0.00,5174066,5,8,0,3,16
1,100011,1,1.00,0.00,5174067,7,7,0,2,16
1,100011,1,1.00,0.00,5174068,4,8,0,4,16
1,100011,1,1.00,0.00,5174069,6,7,0,3,16
1,100011,1,1.00,0.00,5174070,5,8,0,2,15
1,100011,1,1.00,0.00,5174071,17,10,0,4,31
1,100011,1,1.00,0.00,5174072,6,8,0,3,17
1,100011,1,1.00,0.00,5174073,14,14,0,4,32
1,100011,1,1.00,0.00,5174074,10,12,0,0,22
1,100011,1,1.00,0.00,5174075,6,19,0,0,25
1,100011,1,1.00,0.00,5174076,7,10,0,3,20
1,100011,1,1.00,0.00,5174077,14,7,0,3,24
1,100011,1,1.00,0.00,5174078,5,10,0,3,18
