TestNumber,Account,OPS_Req,OPS_Mean,OPS_Sd,Order,New,Calculated1,Filled,Calculated2,Total
1,100000,1,1.00,0.00,253063,12,6,3,1,22
1,100000,1,1.00,0.00,253064,9,9,6,1,25
1,100000,1,1.00,0.00,253065,7,7,2,6,22
1,100000,1,1.00,0.00,253066,7,6,2,4,19
1,100000,1,1.00,0.00,253067,8,7,5,2,22
1,100000,1,1.00,0.00,253068,7,6,5,1,19
1,100000,1,1.00,0.00,253069,7,7,2,5,21
1,100000,1,1.00,0.00,253070,9,9,4,2,24
1,100000,1,1.00,0.00,253071,9,6,1,5,21
1,100000,1,1.00,0.00,253072,7,6,5,1,19
1,100000,1,1.00,0.00,253073,7,6,5,2,20
1,100000,1,1.00,0.00,253074,8,7,2,4,21
1,100000,1,1.00,0.00,253075,7,7,5,1,20
1,100000,1,1.00,0.00,253076,14,6,2,6,28
1,100000,1,1.00,0.00,253077,9,7,1,5,22
1,100000,1,1.00,0.00,253078,6,7,4,1,18
1,100000,1,1.00,0.00,253079,13,11,0,4,28
1,100000,1,1.00,0.00,253080,6,6,4,1,17
1,100000,1,1.00,0.00,253081,7,7,1,3,18
1,100000,1,1.00,0.00,253082,7,9,5,1,22
1,100000,1,1.00,0.00,253083,7,6,2,4,19
1,100000,1,1.00,0.00,253084,10,6,1,4,21
1,100000,1,1.00,0.00,253085,7,6,2,4,19
1,100000,1,1.00,0.00,253086,7,7,2,3,19
1,100000,1,1.00,0.00,253087,7,9,2,4,22
1,100000,1,1.00,0.00,253088,6,6,2,5,19
1,100000,1,1.00,0.00,253089,7,6,5,1,19
1,100000,1,1.00,0.00,253090,7,9,1,5,22
1,100000,1,1.00,0.00,253091,6,7,1,4,18
1,100000,1,1.00,0.00,253092,9,8,4,1,22
1,100000,1,1.00,0.00,253093,6,6,4,1,17
1,100000,1,1.00,0.00,253094,7,6,4,1,18
1,100000,1,1.00,0.00,253095,6,6,2,4,18
1,100000,1,1.00,0.00,253096,6,8,1,5,20
1,100000,1,1.00,0.00,253097,8,6,2,4,20
1,100000,1,1.00,0.00,253098,8,6,1,4,19
1,100000,1,1.00,0.00,253099,8,7,4,1,20
1,100000,1,1.00,0.00,253100,7,6,2,4,19
1,100000,1,1.00,0.00,253101,7,6,1,3,17
1,100000,1,1.00,0.00,253102,11,8,4,1,24
1,100000,1,1.00,0.00,253103,7,6,5,2,20
1,100000,1,1.00,0.00,253104,8,6,2,4,20
1,100000,1,1.00,0.00,253105,7,6,4,1,18
1,100000,1,1.00,0.00,253106,6,6,2,5,19
1,100000,1,1.00,0.00,253107,7,6,1,5,19
1,100000,1,1.00,0.00,253108,7,7,4,2,20
1,100000,1,1.00,0.00,253109,9,8,4,1,22
1,100000,1,1.00,0.00,253110,6,7,2,5,20
1,100000,1,1.00,0.00,253111,10,6,5,1,22
1,100000,1,1.00,0.00,253112,7,6,4,1,18
1,100000,1,1.00,0.00,253113,7,7,4,1,19
1,100000,1,1.00,0.00,253114,7,7,2,4,20
1,100000,1,1.00,0.00,253115,11,7,2,4,24
1,100000,1,1.00,0.00,253116,6,6,1,4,17
1,100000,1,1.00,0.00,253117,6,7,2,4,19
1,100000,1,1.00,0.00,253118,6,6,4,1,17
1,100000,1,1.00,0.00,253119,11,7,1,4,23
1,100000,1,1.00,0.00,253120,7,6,2,4,19
1,100000,1,1.00,0.00,253121,9,7,1,5,22
1,100000,1,1.00,0.00,253122,8,10,2,5,25
1,100000,1,1.00,0.00,253123,6,6,1,4,17
1,100000,1,1.00,0.00,253124,7,7,1,4,19
1,100000,1,1.00,0.00,253125,7,12,5,1,25
1,100000,1,1.00,0.00,253126,10,5,4,1,20
1,100000,1,1.00,0.00,253127,10,8,5,1,24
1,100000,1,1.00,0.00,253128,10,8,9,1,28
1,100000,1,1.00,0.00,253129,7,5,2,5,19
1,100000,1,1.00,0.00,253130,8,6,4,1,19
1,100000,1,1.00,0.00,253131,7,6,1,5,19
1,100000,1,1.00,0.00,253132,6,6,4,1,17
1,100000,1,1.00,0.00,253133,7,10,1,4,22
1,100000,1,1.00,0.00,253134,11,48,5,1,65
1,100000,1,1.00,0.00,253135,7,6,1,4,18
1,100000,1,1.00,0.00,253136,7,6,2,4,19
1,100000,1,1.00,0.00,253137,7,7,4,1,19
1,100000,1,1.00,0.00,253138,7,7,1,3,18
1,100000,1,1.00,0.00,253139,7,6,1,5,19
1,100000,1,1.00,0.00,253140,7,6,1,4,18
1,100000,1,1.00,0.00,253141,7,8,10,3,28
1,100000,1,1.00,0.00,253142,9,6,2,5,22
1,100000,1,1.00,0.00,253143,7,6,2,4,19
1,100000,1,1.00,0.00,253144,7,6,2,5,20
1,100000,1,1.00,0.00,253145,6,6,2,5,19
1,100000,1,1.00,0.00,253146,8,6,2,4,20
1,100000,1,1.00,0.00,253147,6,7,5,1,19
1,100000,1,1.00,0.00,253148,7,7,4,1,19
1,100000,1,1.00,0.00,253149,7,5,1,5,18
1,100000,1,1.00,0.00,253150,7,7,2,3,19
1,100000,1,1.00,0.00,253151,7,7,4,1,19
1,100000,1,1.00,0.00,253152,7,7,1,4,19
1,100000,1,1.00,0.00,253153,6,7,4,1,18
1,100000,1,1.00,0.00,253154,12,6,1,4,23
1,100000,1,1.00,0.00,253155,9,6,4,2,21
1,100000,1,1.00,0.00,253156,8,5,1,5,19
1,100000,1,1.00,0.00,253157,7,6,1,4,18
1,100000,1,1.00,0.00,253158,9,3,1,5,18
1,100000,1,1.00,0.00,253159,7,6,2,3,18
1,100000,1,1.00,0.00,253160,7,5,2,3,17
1,100000,1,1.00,0.00,253161,7,6,2,4,19
1,100000,1,1.00,0.00,253162,6,6,4,1,17
1,100000,1,1.00,0.00,253163,6,8,1,4,19
1,100000,1,1.00,0.00,253164,7,6,2,3,18
1,100000,1,1.00,0.00,253165,8,7,1,6,22
1,100000,1,1.00,0.00,253166,7,7,1,5,20
1,100000,1,1.00,0.00,253167,6,7,4,1,18
1,100000,1,1.00,0.00,253168,6,8,1,4,19
1,100000,1,1.00,0.00,253169,7,7,4,2,20
1,100000,1,1.00,0.00,253170,7,8,4,1,20
1,100000,1,1.00,0.00,253171,7,6,2,4,19
1,100000,1,1.00,0.00,253172,7,7,2,4,20
1,100000,1,1.00,0.00,253173,7,5,5,2,19
1,100000,1,1.00,0.00,253174,9,5,2,4,20
1,100000,1,1.00,0.00,253175,7,7,4,1,19
1,100000,1,1.00,0.00,253176,8,6,2,4,20
1,100000,1,1.00,0.00,253177,7,7,4,1,19
1,100000,1,1.00,0.00,253178,8,10,4,1,23
1,100000,1,1.00,0.00,253179,7,8,5,7,27
1,100000,1,1.00,0.00,253180,6,7,1,4,18
1,100000,1,1.00,0.00,253181,6,8,1,3,18
1,100000,1,1.00,0.00,253182,7,6,5,1,19
1,100000,1,1.00,0.00,253183,15,8,4,1,28
1,100000,1,1.00,0.00,253184,8,5,5,1,19
1,100000,1,1.00,0.00,253185,6,6,4,1,17
1,100000,1,1.00,0.00,253186,6,6,1,5,18
1,100000,1,1.00,0.00,253187,7,5,2,4,18
1,100000,1,1.00,0.00,253188,6,6,2,5,19
1,100000,1,1.00,0.00,253189,6,6,1,5,18
1,100000,1,1.00,0.00,253190,6,6,2,4,18
1,100000,1,1.00,0.00,253191,7,6,1,5,19
1,100000,1,1.00,0.00,253192,7,6,1,4,18
1,100000,1,1.00,0.00,253193,6,7,1,5,19
1,100000,1,1.00,0.00,253194,16,7,1,5,29
1,100000,1,1.00,0.00,253195,6,7,1,3,17
1,100000,1,1.00,0.00,253196,7,6,1,4,18
1,100000,1,1.00,0.00,253197,10,5,1,3,19
1,100000,1,1.00,0.00,253198,7,6,2,4,19
1,100000,1,1.00,0.00,253199,7,7,1,4,19
1,100000,1,1.00,0.00,253200,9,5,4,1,19
1,100000,1,1.00,0.00,253201,7,6,4,1,18
1,100000,1,1.00,0.00,253202,8,5,2,5,20
1,100000,1,1.00,0.00,253203,11,10,4,1,26
1,100000,1,1.00,0.00,253204,6,5,2,5,18
1,100000,1,1.00,0.00,253205,8,8,2,4,22
1,100000,1,1.00,0.00,253206,10,7,4,2,23
1,100000,1,1.00,0.00,253207,7,6,2,3,18
1,100000,1,1.00,0.00,253208,7,7,4,1,19
