TestNumber,Account,OPS_Req,OPS_Mean,OPS_Sd,Order,New,Calculated1,Filled,Calculated2,Total
1,100000,1,1.00,0.00,253363,15,4,1,5,25
1,100000,1,1.00,0.00,253364,9,10,6,1,26
1,100000,1,1.00,0.00,253365,7,9,1,4,21
1,100000,1,1.00,0.00,253366,9,8,1,5,23
1,100000,1,1.00,0.00,253367,14,8,6,2,30
1,100000,1,1.00,0.00,253368,7,9,1,5,22
1,100000,1,1.00,0.00,253369,6,9,4,1,20
1,100000,1,1.00,0.00,253370,13,5,2,2,22
1,100000,1,1.00,0.00,253371,6,9,5,0,20
1,100000,1,1.00,0.00,253372,13,11,7,2,33
1,100000,1,1.00,0.00,253373,7,7,5,2,21
1,100000,1,1.00,0.00,253374,10,6,1,4,21
1,100000,1,1.00,0.00,253375,14,7,6,1,28
1,100000,1,1.00,0.00,253376,9,12,9,1,31
1,100000,1,1.00,0.00,253377,7,9,2,4,22
1,100000,1,1.00,0.00,253378,7,5,2,5,19
1,100000,1,1.00,0.00,253379,7,5,4,1,17
1,100000,1,1.00,0.00,253380,10,5,5,1,21
1,100000,1,1.00,0.00,253381,8,6,7,1,22
1,100000,1,1.00,0.00,253382,7,13,5,1,26
1,100000,1,1.00,0.00,253383,7,7,11,1,26
1,100000,1,1.00,0.00,253384,6,9,4,1,20
1,100000,1,1.00,0.00,253385,8,7,4,1,20
1,100000,1,1.00,0.00,253386,12,9,4,2,27
1,100000,1,1.00,0.00,253387,10,6,5,2,23
1,100000,1,1.00,0.00,253388,11,9,4,2,26
1,100000,1,1.00,0.00,253389,14,11,4,7,36
1,100000,1,1.00,0.00,253390,8,8,4,2,22
1,100000,1,1.00,0.00,253391,10,7,2,5,24
1,100000,1,1.00,0.00,253392,7,6,2,4,19
1,100000,1,1.00,0.00,253393,7,7,1,4,19
1,100000,1,1.00,0.00,253394,7,7,3,3,20
1,100000,1,1.00,0.00,253395,9,6,3,7,25
1,100000,1,1.00,0.00,253396,7,6,4,1,18
1,100000,1,1.00,0.00,253397,6,7,5,1,19
1,100000,1,1.00,0.00,253398,6,7,1,4,18
1,100000,1,1.00,0.00,253399,7,7,2,4,20
1,100000,1,1.00,0.00,253400,9,9,4,2,24
1,100000,1,1.00,0.00,253401,8,7,4,2,21
1,100000,1,1.00,0.00,253402,9,6,4,2,21
1,100000,1,1.00,0.00,253403,7,7,5,1,20
1,100000,1,1.00,0.00,253404,14,10,1,5,30
1,100000,1,1.00,0.00,253405,6,6,2,4,18
1,100000,1,1.00,0.00,253406,7,5,4,2,18
1,100000,1,1.00,0.00,253407,9,7,1,4,21
1,100000,1,1.00,0.00,253408,9,7,4,1,21
1,100000,1,1.00,0.00,253409,6,6,1,3,16
1,100000,1,1.00,0.00,253410,7,6,4,1,18
