TestNumber,Account,OPS_Req,OPS_Mean,OPS_Sd,Order,New,Calculated1,Filled,Calculated2,Total
1,100320,1,1.00,0.00,8930481,43,195,0,0,238
1,100320,1,1.00,0.00,8930482,3,3,0,1,7
1,100320,1,1.00,0.00,8930483,3,9,0,1,13
1,100320,1,1.00,0.00,8930484,6,13,0,3,22
1,100320,1,1.00,0.00,8930485,80,67,1,13,161
1,100320,1,1.00,0.00,8930486,3,6,0,0,9
1,100320,1,1.00,0.00,8930487,22,9,0,0,31
1,100320,1,1.00,0.00,8930488,3,6,0,1,10
1,100320,1,1.00,0.00,8930489,16,44,0,3,63
1,100320,1,1.00,0.00,8930490,4,7,0,0,11
1,100320,1,1.00,0.00,8930491,3,4,0,1,8
1,100320,1,1.00,0.00,8930492,29,6,1,0,36
1,100320,1,1.00,0.00,8930493,5,8,0,2,15
1,100320,1,1.00,0.00,8930494,8,4,10,0,22
1,100320,1,1.00,0.00,8930495,29,26,0,0,55
1,100320,1,1.00,0.00,8930496,5,13,0,2,20
1,100320,1,1.00,0.00,8930497,4,7,0,3,14
1,100320,1,1.00,0.00,8930498,9,8,5,0,22
1,100320,1,1.00,0.00,8930499,4,4,0,1,9
1,100320,1,1.00,0.00,8930500,2,3,0,1,6
1,100320,1,1.00,0.00,8930501,22,5,0,2,29
1,100320,1,1.00,0.00,8930502,5,6,0,1,12
1,100320,1,1.00,0.00,8930503,4,4,0,2,10
1,100320,1,1.00,0.00,8930504,4,6,0,2,12
1,100320,1,1.00,0.00,8930505,3,5,2,0,10
1,100320,1,1.00,0.00,8930506,2,24,0,0,26
1,100320,1,1.00,0.00,8930507,2,3,0,1,6
1,100320,1,1.00,0.00,8930508,5,10,0,0,15
1,100320,1,1.00,0.00,8930509,2,3,0,1,6
1,100320,1,1.00,0.00,8930510,53,8,0,4,65
1,100320,1,1.00,0.00,8930511,7,12,0,0,19
1,100320,1,1.00,0.00,8930512,4,7,0,1,12
1,100320,1,1.00,0.00,8930513,4,6,0,1,11
1,100320,1,1.00,0.00,8930514,27,26,0,0,53
1,100320,1,1.00,0.00,8930515,12,25,0,0,37
1,100320,1,1.00,0.00,8930516,4,4,0,2,10
1,100320,1,1.00,0.00,8930517,3,9,0,0,12
1,100320,1,1.00,0.00,8930518,1,3,0,0,4
1,100320,1,1.00,0.00,8930519,2,3,0,1,6
1,100320,1,1.00,0.00,8930520,3,18,0,0,21
1,100320,1,1.00,0.00,8930521,2,3,0,1,6
1,100320,1,1.00,0.00,8930522,5,8,0,0,13
1,100320,1,1.00,0.00,8930523,12,15,0,0,27
