TestNumber,Account,OrdPerSec,OrdPerSec_Mean,Order,New,Calculated1,Filled,Calculated2,Total
1,100320,1,1.00,7998739,293,160,0,2,459
1,100320,1,1.00,7998741,36,25,0,64,253
1,100320,1,1.00,7998743,11,15,28,0,54
1,100320,1,1.00,7998745,50,228,9,0,287
1,100320,1,1.00,7998747,23,10,0,0,33
1,100320,1,1.00,7998749,71,183,0,0,254
1,100320,1,1.00,7998751,56,114,0,0,170
1,100320,1,1.00,7998753,159,44,0,23,272
1,100320,1,1.00,7998755,22,15,1,0,38
1,100320,1,1.00,7998757,11,30,0,0,41
1,100320,1,1.00,7998759,62,24,3,0,89
1,100320,1,1.00,7998761,168,136,0,0,304
1,100320,1,1.00,7998763,21,8,0,46,167
1,100320,1,1.00,7998765,13,3,0,4,28
1,100320,1,1.00,7998767,233,115,1,0,349
1,100320,1,1.00,7998769,21,8,0,4,41
1,100320,1,1.00,7998771,3,10,0,2,19
1,100320,1,1.00,7998773,3,3,0,0,6
1,100320,1,1.00,7998775,1,12,0,0,13
1,100320,1,1.00,7998777,11,14,0,0,25
1,100320,1,1.00,7998779,29,40,0,0,69
1,100320,1,1.00,7998781,3,4,0,5,22
1,100320,1,1.00,7998783,5,8,223,0,236
1,100320,1,1.00,7998785,3,7,0,0,10
1,100320,1,1.00,7998787,4,3,0,1,10
1,100320,1,1.00,7998789,6,4,0,0,10
1,100320,1,1.00,7998791,24,3,0,0,27
1,100320,1,1.00,7998793,33,2,0,0,35
1,100320,1,1.00,7998795,263,188,0,0,451
1,100320,1,1.00,7998797,3,16,0,0,19
1,100320,1,1.00,7998799,1,3,0,0,4
1,100320,1,1.00,7998801,4,3,0,1,10
1,100320,1,1.00,7998803,41,9,0,0,50
1,100320,1,1.00,7998805,18,93,0,0,111
1,100320,1,1.00,7998807,48,94,0,6,160
1,100320,1,1.00,7998809,35,67,0,8,126
1,100320,1,1.00,7998811,3,4,0,0,7
1,100320,1,1.00,7998813,5,8,0,0,13
1,100320,1,1.00,7998815,70,14,0,0,84
1,100320,1,1.00,7998817,45,3,0,1,51
1,100320,1,1.00,7998819,79,16,0,1,98
1,100320,1,1.00,7998821,75,13,3,11,124
1,100320,1,1.00,7998823,2,3,0,1,8
1,100320,1,1.00,7998825,2,3,0,1,8
1,100320,1,1.00,7998827,17,27,0,0,44
1,100320,1,1.00,7998829,5,8,0,0,13
1,100320,1,1.00,7998831,138,33,0,0,171
1,100320,1,1.00,7998833,3,13,0,0,16
1,100320,1,1.00,7998835,81,29,0,3,119
1,100320,1,1.00,7998837,10,14,0,7,45
1,100320,1,1.00,7998839,14,51,0,0,65
1,100320,1,1.00,7998841,51,24,0,83,324
1,100320,1,1.00,7998843,37,0,0,0,37
1,100320,1,1.00,7998845,19,61,0,1,83
1,100320,1,1.00,7998847,2,2,0,1,7
1,100320,1,1.00,7998849,6,5,0,1,14
1,100321,1,1.00,7996762,254,204,0,0,458
1,100321,1,1.00,7996763,172,27,100,0,299
