TestNumber,Account,OPS_Req,OPS_Mean,OPS_Sd,Order,New,Calculated1,Filled,Calculated2,Total
1,100320,1,1.00,0.00,8731002,242,484,22,9,775
1,100320,1,1.00,0.00,8731003,10,4,0,11,47
1,100320,1,1.00,0.00,8731004,20,12,0,1,35
1,100320,1,1.00,0.00,8731005,7,14,0,0,21
1,100320,1,1.00,0.00,8731006,28,23,0,3,60
1,100320,1,1.00,0.00,8731007,55,12,5,0,72
1,100320,1,1.00,0.00,8731008,9,28,0,0,37
1,100320,1,1.00,0.00,8731009,69,25,0,0,94
1,100320,1,1.00,0.00,8731010,7,18,0,4,37
1,100320,1,1.00,0.00,8731011,7,15,0,6,40
1,100320,1,1.00,0.00,8731012,7,28,0,0,35
1,100320,1,1.00,0.00,8731013,6,6,2,0,14
1,100320,1,1.00,0.00,8731014,13,14,0,1,30
1,100320,1,1.00,0.00,8731015,8,18,0,3,35
1,100320,1,1.00,0.00,8731016,6,29,0,6,53
1,100320,1,1.00,0.00,8731017,28,9,0,0,37
1,100320,1,1.00,0.00,8731018,16,22,0,0,38
1,100320,1,1.00,0.00,8731019,6,15,0,2,27
1,100320,1,1.00,0.00,8731020,32,0,1,2,39
1,100320,1,1.00,0.00,8731021,5,11,4,0,20
1,100320,1,1.00,0.00,8731022,24,24,2,0,50
1,100320,1,1.00,0.00,8731023,43,26,4,0,73
1,100320,1,1.00,0.00,8731024,8,10,7,0,25
1,100320,1,1.00,0.00,8731025,31,62,0,2,99
1,100320,1,1.00,0.00,8731026,106,21,0,2,133
1,100320,1,1.00,0.00,8731027,41,16,10,0,67
1,100320,1,1.00,0.00,8731028,9,19,1,72,245
1,100320,1,1.00,0.00,8731029,10,39,0,1,52
1,100320,1,1.00,0.00,8731030,6,12,0,3,27
1,100320,1,1.00,0.00,8731031,26,9,0,0,35
1,100320,1,1.00,0.00,8731032,7,10,0,3,26
1,100320,1,1.00,0.00,8731033,10,17,0,0,27
1,100320,1,1.00,0.00,8731034,11,26,0,3,46
1,100320,1,1.00,0.00,8731035,7,19,6,0,32
1,100320,1,1.00,0.00,8731036,22,3,0,13,64
1,100320,1,1.00,0.00,8731037,47,52,0,0,99
1,100320,1,1.00,0.00,8731038,8,34,0,0,42
1,100320,1,1.00,0.00,8731039,26,9,0,0,35
1,100320,1,1.00,0.00,8731040,61,24,0,0,85
1,100320,1,1.00,0.00,8731041,10,37,0,0,47
1,100320,1,1.00,0.00,8731042,18,7,0,21,88
1,100320,1,1.00,0.00,8731043,22,24,0,0,46
1,100320,1,1.00,0.00,8731044,16,7,0,3,32
1,100320,1,1.00,0.00,8731045,10,14,0,6,42
1,100320,1,1.00,0.00,8731046,10,28,1,2,45
1,100320,1,1.00,0.00,8731047,10,11,0,3,30
1,100320,1,1.00,0.00,8731048,9,9,0,2,24
1,100320,1,1.00,0.00,8731049,9,9,0,4,30
1,100320,1,1.00,0.00,8731050,63,9,0,2,78
1,100320,1,1.00,0.00,8731051,6,8,0,53,173
1,100320,1,1.00,0.00,8731052,61,15,0,0,76
1,100320,1,1.00,0.00,8731053,22,6,7,0,35
1,100320,1,1.00,0.00,8731054,15,46,0,0,61
1,100320,1,1.00,0.00,8731055,33,66,0,0,99
1,100320,1,1.00,0.00,8731056,4,7,2,1,16
1,100320,1,1.00,0.00,8731057,20,17,0,5,52
1,100320,1,1.00,0.00,8731058,9,143,0,0,152
1,100320,1,1.00,0.00,8731059,3,5,0,1,11
1,100320,1,1.00,0.00,8731060,15,15,0,0,30
1,100320,1,1.00,0.00,8731061,7,10,51,0,68
2,100320,1,1.00,0.00,8731062,5,13,0,1,21
2,100320,1,1.00,0.00,8731063,15,26,0,0,41
2,100320,1,1.00,0.00,8731064,72,12,0,5,99
2,100320,1,1.00,0.00,8731065,4,8,0,0,12
2,100320,1,1.00,0.00,8731066,11,4,0,10,45
2,100320,1,1.00,0.00,8731067,7,12,0,2,25
2,100320,1,1.00,0.00,8731068,11,17,0,1,31
2,100320,1,1.00,0.00,8731069,5,13,0,1,21
2,100320,1,1.00,0.00,8731070,7,3,2,0,12
2,100320,1,1.00,0.00,8731071,6,3,0,1,12
2,100320,1,1.00,0.00,8731072,22,0,0,0,22
2,100320,1,1.00,0.00,8731073,8,18,0,6,44
2,100320,1,1.00,0.00,8731074,9,58,8,0,75
2,100320,1,1.00,0.00,8731075,32,25,0,12,93
2,100320,1,1.00,0.00,8731076,7,8,0,0,15
2,100320,1,1.00,0.00,8731077,17,18,0,0,35
2,100320,1,1.00,0.00,8731078,5,7,0,2,18
2,100320,1,1.00,0.00,8731079,3,8,0,1,14
2,100320,1,1.00,0.00,8731080,10,6,0,7,37
2,100320,1,1.00,0.00,8731081,5,102,0,0,107
2,100320,1,1.00,0.00,8731082,23,29,6,2,64
2,100320,1,1.00,0.00,8731083,8,15,0,1,26
2,100320,1,1.00,0.00,8731084,6,100,0,0,106
2,100320,1,1.00,0.00,8731085,11,18,3,4,44
2,100320,1,1.00,0.00,8731086,3,6,0,1,12
2,100320,1,1.00,0.00,8731087,14,24,1,6,57
2,100320,1,1.00,0.00,8731088,6,17,0,2,29
2,100320,1,1.00,0.00,8731089,10,10,4,0,24
2,100320,1,1.00,0.00,8731090,5,7,0,3,21
2,100320,1,1.00,0.00,8731091,45,13,0,2,64
2,100320,1,1.00,0.00,8731092,21,9,4,82,280
2,100320,1,1.00,0.00,8731093,12,14,4,0,30
2,100320,1,1.00,0.00,8731094,13,59,0,8,96
2,100320,1,1.00,0.00,8731095,15,99,0,2,120
2,100320,1,1.00,0.00,8731096,8,8,0,3,25
2,100320,1,1.00,0.00,8731097,15,12,0,4,39
2,100320,1,1.00,0.00,8731098,22,34,0,2,62
2,100320,1,1.00,0.00,8731099,16,11,9,4,48
2,100320,1,1.00,0.00,8731100,6,45,0,3,60
2,100320,1,1.00,0.00,8731101,6,12,0,4,30
2,100320,1,1.00,0.00,8731102,3,6,0,2,15
2,100320,1,1.00,0.00,8731103,5,12,0,2,23
2,100320,1,1.00,0.00,8731104,5,7,0,5,27
2,100320,1,1.00,0.00,8731105,3,3,0,1,9
2,100320,1,1.00,0.00,8731106,14,3,0,0,17
2,100320,1,1.00,0.00,8731107,4,8,0,1,15
2,100320,1,1.00,0.00,8731108,4,7,0,3,20
2,100320,1,1.00,0.00,8731109,8,36,0,1,47
2,100320,1,1.00,0.00,8731110,19,115,1,0,135
2,100320,1,1.00,0.00,8731111,26,11,16,0,53
2,100320,1,1.00,0.00,8731112,5,8,0,6,31
2,100320,1,1.00,0.00,8731113,7,12,0,3,28
2,100320,1,1.00,0.00,8731114,44,22,0,3,75
2,100320,1,1.00,0.00,8731115,49,31,0,2,86
2,100320,1,1.00,0.00,8731116,15,8,0,2,29
2,100320,1,1.00,0.00,8731117,5,9,0,1,17
2,100320,1,1.00,0.00,8731118,5,9,4,0,18
2,100320,1,1.00,0.00,8731119,3,5,0,8,32
2,100320,1,1.00,0.00,8731120,6,3,0,2,15
2,100320,1,1.00,0.00,8731121,5,5,0,2,16
2,100321,1,1.00,0.00,8732002,4,6,0,0,10
2,100321,1,1.00,0.00,8732003,13,7,2,3,31
2,100321,1,1.00,0.00,8732004,73,11,1,4,97
2,100321,1,1.00,0.00,8732005,3,8,0,2,17
2,100321,1,1.00,0.00,8732006,5,6,1,0,12
2,100321,1,1.00,0.00,8732007,5,12,1,4,30
2,100321,1,1.00,0.00,8732008,14,11,0,4,37
2,100321,1,1.00,0.00,8732009,8,10,1,0,19
2,100321,1,1.00,0.00,8732010,4,7,0,1,14
2,100321,1,1.00,0.00,8732011,4,6,0,1,13
2,100321,1,1.00,0.00,8732012,4,18,0,0,22
2,100321,1,1.00,0.00,8732013,6,18,0,0,24
