TestNumber,Account,OPS_Req,OPS_Mean,OPS_Sd,Order,New,Calculated1,Filled,Calculated2,Total
1,100320,1,1.00,0.00,8627213,15,3,0,2,24
1,100320,1,1.00,0.00,8627214,2,3,0,2,11
1,100320,1,1.00,0.00,8627215,3,10,0,2,19
1,100320,1,1.00,0.00,8627216,3,5,0,0,8
1,100320,1,1.00,0.00,8627217,3,9,0,1,15
1,100320,1,1.00,0.00,8627218,5,12,0,2,23
1,100320,1,1.00,0.00,8627219,107,30,0,1,140
1,100320,1,1.00,0.00,8627220,38,22,0,0,60
1,100320,1,1.00,0.00,8627221,5,0,0,1,8
1,100320,1,1.00,0.00,8627222,3,12,0,1,18
1,100320,1,1.00,0.00,8627223,8,9,0,1,20
1,100320,1,1.00,0.00,8627224,7,11,0,1,21
1,100320,1,1.00,0.00,8627225,16,14,0,5,45
1,100320,1,1.00,0.00,8627226,6,3,0,1,12
1,100320,1,1.00,0.00,8627227,4,7,0,0,11
1,100320,1,1.00,0.00,8627228,3,4,0,1,10
1,100320,1,1.00,0.00,8627229,3,6,0,1,12
1,100320,1,1.00,0.00,8627230,27,4,1,0,32
1,100320,1,1.00,0.00,8627231,9,4,6,0,19
1,100320,1,1.00,0.00,8627232,3,4,0,1,10
1,100320,1,1.00,0.00,8627233,18,2,0,2,26
1,100320,1,1.00,0.00,8627234,4,5,6,0,15
1,100320,1,1.00,0.00,8627235,3,5,0,2,14
1,100320,1,1.00,0.00,8627236,18,21,0,3,48
1,100320,1,1.00,0.00,8627237,28,28,0,0,56
1,100320,1,1.00,0.00,8627238,135,80,0,0,215
1,100320,1,1.00,0.00,8627239,14,112,0,0,126
1,100320,1,1.00,0.00,8627240,29,17,0,3,55
1,100320,1,1.00,0.00,8627241,33,14,1,0,48
1,100320,1,1.00,0.00,8627242,45,4,0,4,61
1,100320,1,1.00,0.00,8627243,28,4,0,0,32
1,100320,1,1.00,0.00,8627244,26,36,0,0,62
1,100320,1,1.00,0.00,8627245,10,89,0,0,99
1,100320,1,1.00,0.00,8627246,14,6,0,2,26
1,100320,1,1.00,0.00,8627247,22,11,1,6,52
1,100320,1,1.00,0.00,8627248,42,14,0,4,68
1,100320,1,1.00,0.00,8627249,90,9,0,0,99
1,100320,1,1.00,0.00,8627250,52,8,0,1,63
1,100320,1,1.00,0.00,8627251,71,28,0,0,99
1,100320,1,1.00,0.00,8627252,34,20,2,0,56
1,100320,1,1.00,0.00,8627253,60,98,0,0,158
1,100320,1,1.00,0.00,8627254,114,108,0,0,222
1,100320,1,1.00,0.00,8627255,3,4,0,4,19
